ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
11,AC,Account Management,AC-02.00.01.01,"The organization defines information system account types to be identified and selected to support organizational missions/business functions as individual, group, system, application, guest/anonymous, and temporary accounts.","Review program area account management plans, policies, or procedures for information system account types to be identified and selected to support organizational missions/business functions as individual, group, system, application, guest/anonymous, and temporary accounts."
12,AC,Account Management,AC-02.00.01.02,"The organization identifies and selects individual, group, system, application, guest/anonymous, and temporary accounts types to support organizational missions/business functions.","• Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that account types have been defined as  individual, group, system, application, guest/anonymous, and temporary accounts. as applicable.

• Provide a screen shot of users/admins and their privileges (read, read write etc.)

• Examine documentation (Screenshots, emails, etc.) that verifies identity with the ability to select various account types.  And/or program area account management policies verifying system account review frequency has been documented as at least every 6 months.



"
13,AC,Account Management,AC-02.00.02.01,The organization assigns account managers for information system accounts.,"• Review program area account management plans, policies, or procedures to verify that an account manager has been assigned."
14,AC,Account Management,AC-02.00.03.01,The organization establishes conditions for group and role membership.,"• Review program area account management plans, policies, or procedures and verify that conditions for group and role memberships have been documented.

Provide screenshots within the system that shows these different groups or roles."
15,AC,Account Management,AC-02.00.04.01,The organization specifies for each account (as required) authorized users of the information system.,"•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that the authorized users of each account are specified.
"
16,AC,Account Management,AC-02.00.04.02,The organization specifies for each account (as required) group and role membership.,"•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that group or rol membership is specified for each account.
"
17,AC,Account Management,AC-02.00.04.03,"The organization specifies for each account (as required) access authorizations (i.e., privileges).","•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that for each account type access authorizations, such as privileges are specified."
18,AC,Account Management,AC-02.00.04.04,The organization specifies for each account (as required) other attributes.,"•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that control requirements have been satisfied.

•Need a screen shot of users/admins and their privileges (read, read write etc.)

• Need documentation such as Remedy ticket or e-mail showing that accounts are authorized, approved, activated, modified, disabled, or removed.  Verify that Remedy ticket has been approved by appropriate personnel (management) and completed (closed).  A submitted Remedy ticket will not suffice.

• Need evidence such as e-mail or documentation showing that system accounts are reviewed every 6 months.  All accounts for systems in production or under development need to be reviewed unless system is a public facing component with public users.  In that case admin accounts need to be reviewed."
19,AC,Account Management,AC-02.00.05.01,The organization defines personnel or roles required to approve requests to create information system accounts as designated  Agency personnel.,"Access Control documentation or Account Management that defines the personnel or roles required to approve requests to create system accounts. Screenshots (i.e. ticketing system) used to process request for approval of creation of accounts.
"
20,AC,Account Management,AC-02.00.05.02,The organization requires appropriate approvals for requests to establish accounts by designated  Agency personnel.,"•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that control requirements have been satisfied.

•Need a screen shot of users/admins and their privileges (read, read write etc.)

• Need documentation such as Remedy ticket or e-mail showing that accounts are authorized, approved, activated, modified, disabled, or removed.  Verify that Remedy ticket has been approved by appropriate personnel (management) and completed (closed).  A submitted Remedy ticket will not suffice.

• Need evidence such as e-mail or documentation showing that system accounts are reviewed every 6 months.  All accounts for systems in production or under development need to be reviewed unless system is a public facing component with public users.  In that case admin accounts need to be reviewed."
21,AC,Account Management,AC-02.00.06.01,"The organization defines procedures or conditions to: 
1) create information system accounts
2) enable information system accounts 
3) modify information system accounts 
4) disable information system accounts 
5) remove information system accounts","•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that control requirements have been satisfied.

•Need a screen shot of users/admins and their privileges (read, read write etc.)

• Need documentation such as Remedy ticket or e-mail showing that accounts are authorized, approved, activated, modified, disabled, or removed.  Verify that Remedy ticket has been approved by appropriate personnel (management) and completed (closed).  A submitted Remedy ticket will not suffice.

• Need evidence such as e-mail or documentation showing that system accounts are reviewed every 6 months.  All accounts for systems in production or under development need to be reviewed unless system is a public facing component with public users.  In that case admin accounts need to be reviewed."
22,AC,Account Management,AC-02.00.06.02,"The organization in accordance with  Agency Access Control Procedures: 
1) creates information system accounts 
2) enables information system accounts 
3) modifies information system accounts 
4) disables information system accounts 
5) removes information system accounts.","•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that control requirements have been satisfied.

•Need a screen shot of users/admins and their privileges (read, read write etc.)

• Need documentation such as Remedy ticket or e-mail showing that accounts are authorized, approved, activated, modified, disabled, or removed.  Verify that Remedy ticket has been approved by appropriate personnel (management) and completed (closed).  A submitted Remedy ticket will not suffice.

• Need evidence such as e-mail or documentation showing that system accounts are reviewed every 6 months.  All accounts for systems in production or under development need to be reviewed unless system is a public facing component with public users.  In that case admin accounts need to be reviewed. "
23,AC,Account Management,AC-02.00.07.01,The organization monitors the use of information system accounts.,"Access Control or Account Management that defines account monitoring procedures in documentation. Screenshot of the implemented monitoring tool (i.e. system alert or audit record) that demonstrates that monitoring of account usage is being performed. (i.e., alerts of inappropriate usage, unauthorized accounts, logons / logoffs, and etc.)"
24,AC,Account Management,AC-02.00.08.01,The organization notifies account managers when accounts are no longer required.,"•Review program area account management plans, policies, or procedures to validate that they exist. 

• Review account creation policies and verify that control requirements have been satisfied.

•Need a screen shot of users/admins and their privileges (read, read write etc.)

• Need documentation such as Remedy ticket or e-mail showing that accounts are authorized, approved, activated, modified, disabled, or removed.  Verify that Remedy ticket has been approved by appropriate personnel (management) and completed (closed).  A submitted Remedy ticket will not suffice.

• Need evidence such as e-mail or documentation showing that system accounts are reviewed every 6 months.  All accounts for systems in production or under development need to be reviewed unless system is a public facing component with public users.  In that case admin accounts need to be reviewed."
25,AC,Account Management,AC-02.00.08.02,The organization notifies account managers when users are terminated or transferred.,"•Review program area account management plans, policies, or procedures."
26,AC,Account Management,AC-02.00.08.03,The organization notifies account managers when individual information system usage or need to know changes.,"•Review program area account management plans, policies, or procedures."
27,AC,Account Management,AC-02.00.09.01,The organization authorizes access to the information system based on a valid access authorization.,"•Review program area account management plans, policies, or procedures."
28,AC,Account Management,AC-02.00.09.02,The organization authorizes access to the information system based on intended system usage.,"•Review program area account management plans, policies, or procedures."
29,AC,Account Management,AC-02.00.09.03,The organization authorizes access to the information system based on other attributes as required by the organization or associated missions/business functions.,"•Need a screen shot of users/admins and their privileges (read, read write etc.)"
30,AC,Account Management,AC-02.00.10.01,The organization defines the frequency to review accounts for compliance with account management requirements as at least semi-annually.,"• Collect and examine evidence such as e-mails or documents showing that system accounts have been reviewed every 6 months.  Two documents need to be provided to show every 6 months. Evidence for one review is not enough.
• All accounts should be reviewed, even if the system is not in production yet and is under development.  If there are accounts then they need to be reviewed.
"
31,AC,Account Management,AC-02.00.10.02,The organization reviews accounts for compliance with account management requirements at least semi-annually.,"• Collect and examine evidence such as e-mails or documents showing that system accounts have been reviewed every 6 months.  Two documents need to be provided to show every 6 months. Evidence for one review is not enough.
• All accounts should be reviewed, even if the system is not in production yet and is under development.  If there are accounts then they need to be reviewed.
"
32,AC,Account Management,AC-02.00.11.01,The organization establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.,Provide documentation of process for reissuing account credentials when indivduals are removed from the group.
33,AC,Automated Account System Management,AC-02.01.01.01,The organization employs automated mechanisms to support the management of information system accounts.,• Need evidence such as e-mail or documentation showing that system accounts are reviewed every 6 months.  All accounts for systems in production or under development need to be reviewed unless system is a public facing component with public users.  In that case admin accounts need to be reviewed.
34,AC,Removal of Temporary/Emergency Accounts,AC-02.02.01.01,"The organization defines a time period, 120 days for temporary accounts or 14 days for emergency accounts, which the information system automatically removes or disables temporary and emergency accounts.","• Verify, by examining account management plan or interview, if program area allows temporary or emergency accounts.  

• If they do, need evidence showing that temporary and emergency accounts are terminated after 30 days."
35,AC,Removal of Temporary/Emergency Accounts,AC-02.02.02.01,The information system automatically removes or disables temporary and emergency accounts after 120 days for temporary accounts or 14 days for emergency accounts. ,If temporary or emergency accounts are used verify if the system is capable of automatically terminating accounts after 30 days.  Collect screenshot of configuration showing that accounts are disabled after 30 days; policy stating that there are no emergency accounts.
36,AC,Disable Inactive Accounts,AC-02.03.01.01,"The organization defines the time period, after 30 days, which the information system automatically disables inactive accounts.",Review program area account management documents to identify if  time frame for disabling of inactive accounts is 30 days.
37,AC,Disable Inactive Accounts,AC-02.03.02.01,The information system automatically disables inactive accounts after 30 days. ,"Examine automated system account management mechanisms and verify that inactive accounts are disabled after 30 days of inactivity.
Collect screenshot of a previously created account to show that system is being used; screenshot of configuration showing that accounts are disabled after 30 days; policy stating that there are no emergency accounts."
38,AC,Automated Audit Actions,AC-02.04.01.01,The information system automatically audits the following account actions: creation.,"Examine audit logs highlighting instances of the required auditable events  (Account Creation, modification, disabling, and termination actions.   If audit logs do not contain events then specific events should  be created and captured by the audit logs .   If the auditable events mentioned reside in logs sent to Sensage, then the ISSO should request those logs and identify the events from the Sensage team  in OIS."
39,AC,Automated Audit Actions,AC-02.04.01.02,The information system automatically audits the following account actions: modification.,"• Examine system auditing configurations and gather screenshots to identify if system generates and sends notifications to appropriate personnel when the following auditable events occur:
Account modification
• Verify e-mail addresses and collect screen shots of e-mail addresses."
40,AC,Automated Audit Actions,AC-02.04.01.03,The information system automatically audits the following account actions: enabling.,"• Examine system auditing configurations and gather screenshots to identify if system generates and sends notifications to appropriate personnel when the following auditable event occurs:
Account enabling.
• Verify e-mail addresses and collect screen shots of e-mail addresses."
41,AC,Automated Audit Actions,AC-02.04.01.04,The information system automatically audits the following account actions: disabling.,"• Examine system auditing configurations and gather screenshots to identify if system generates and sends notifications to appropriate personnel when the following auditable events occur:
Account creation, account modification, account disabling, and account termination.  
• Verify e-mail addresses and collect screen shots of e-mail addresses."
42,AC,Automated Audit Actions,AC-02.04.01.05,The information system automatically audits the following account actions: removal.,"• Examine system auditing configurations and gather screenshots to identify if system generates and sends notifications to appropriate personnel when the following auditable events occur:
Account creation, account modification, account disabling, and account termination.  
• Verify e-mail addresses and collect screen shots of e-mail addresses."
43,AC,Automated Audit Actions,AC-02.04.02.01,The organization defines personnel or roles to be notified of the following account actions as designated  Agency personnel: creation.,"Access Control SOP, Account Management Plan that defines organizational personnel and/or roles as ""designated U.S.  Agency personnel"" that are to be notified of account creation.

NOTE: If the control is provided by an enterprise shared service, SSP implementation descriptions must explicitly state which system(s) are responsible for this function, and the control must be tested prior to acceptance for passing on subordinate / reliant systems."
44,AC,Automated Audit Actions,AC-02.04.02.02,The organization defines personnel or roles to be notified of the following account actions as designated  Agency personnel: modification.,"Access Control SOP, Account Management Plan that defines organizational personnel and/or roles as ""designated U.S.  Agency personnel"" that are to be notified of account modification (when any change of privileges occurs).

NOTE: If the control is provided by an enterprise shared service, SSP implementation descriptions must explicitly state which system(s) are responsible for this function, and the control must be tested prior to acceptance for passing on subordinate / reliant systems."
45,AC,Automated Audit Actions,AC-02.04.02.03,The organization defines personnel or roles to be notified of the following account actions as designated  Agency personnel: enabling.,"Access Control SOP, Account Management (section) that defines organizational personnel and/or roles as ""designated U.S.  Agency personnel"" that are notified of account enablement.

NOTE: If provided by an enterprise shared service, SSP implementation descriptions must explicitly state which system(s) are responsible for this function, and the control must be tested prior to acceptance for passing on subordinate / reliant systems."
46,AC,Automated Audit Actions,AC-02.04.02.04,"The organization defines personnel or roles to be notified of the following account actions as designated  Agency personnel:
 disabling.","Access Control SOP, Account Management (section) that defines organizational personnel and/or roles as ""designated U.S.  Agency personnel"" that are notified of account disablement.

NOTE: If provided by an enterprise shared service, SSP implementation descriptions must explicitly state which system(s) are responsible for this function, and the control must be tested prior to acceptance for passing on subordinate / reliant systems."
47,AC,Automated Audit Actions,AC-02.04.02.05,"The organization defines personnel or roles to be notified of the following account actions as designated  Agency personnel:
removal.","Access Control SOP, Account Management Plan that defines organizational personnel and/or roles as ""designated U.S.  Agency personnel"" that are to be notified of account removal.

NOTE: If the control is provided by an enterprise shared service, SSP implementation descriptions must explicitly state which system(s) are responsible for this function, and the control must be tested prior to acceptance for passing on subordinate / reliant systems."
48,AC,Automated Audit Actions,AC-02.04.03.01,The information system notifies designated  Agency personnel of the following account actions: creation.,Evidence should demonstrate that the information system notifies designated personnel when an account creation occurs.
49,AC,Automated Audit Actions,AC-02.04.03.02,The information system notifies designated  Agency personnel of the following account actions: modification.,Evidence should demonstrate that the information system notifies designated personnel when an account modification occurs.
50,AC,Automated Audit Actions,AC-02.04.03.03,The information system notifies designated  Agency personnel of the following account actions: enabling.,Evidence should demonstrate that the information system notifies designated personnel when an account enabling occurs.
51,AC,Automated Audit Actions,AC-02.04.03.04,The information system notifies designated  Agency personnel of the following account actions: disabling.,Evidence should demonstrate that the information system notifies designated personnel when an account disabling occurs.
52,AC,Automated Audit Actions,AC-02.04.03.05,The information system notifies designated  Agency personnel of the following account actions: removal.,Evidence should demonstrate that the information system notifies designated personnel when an account removal occurs.
53,AC,Inactivity Logout,AC-02.05.01.01,The organization defined time period of expected inactivity that requires users to log out is set to after 15 minutes of inactivity.,Policy should state time period of expected inactivity that requires users to log out is set to after 15 minutes of inactivity.
54,AC,Inactivity Logout,AC-02.05.01.02,The organization requires that users log out when the 15 minutes of inactivity is reached.,Screenshot of information system configuration settings and associated documentation that demonstrates  that users log out when the 15 minutes of inactivity is reached.
55,AC,Dynamic Privilege Management,AC-02.06.01.01,The organization defines a list of dynamic privilege management capabilities to be implemented by the information system.,#N/A
56,AC,Dynamic Privilege Management,AC-02.06.01.02,The information system implements the organization-defined list of dynamic privilege management capabilities.,#N/A
57,AC,Role-Based Schemes,AC-02.07.01.01,The organization establishes and administers privileged user accounts in accordance with a role based access scheme that organizes allowed information system access and privileges into roles.,#N/A
58,AC,Role-Based Schemes,AC-02.07.01.02,The organization monitors privileged role assignments.,#N/A
59,AC,Role-Based Schemes,AC-02.07.03.01,The organization defines actions to be taken when privileged role assignments are no longer appropriate.,#N/A
60,AC,Role-Based Schemes,AC-02.07.03.02,The organization takes organization-defined actions when privileged role assignments are no longer appropriate.,#N/A
61,AC,Dynamic Account Creation,AC-02.08.01.01,The organization defines information system accounts to be created by the information system dynamically.,#N/A
62,AC,Dynamic Account Creation,AC-02.08.02.01,The information system creates organization-defined information system accounts dynamically. ,#N/A
63,AC,Restrictions on Use of Shared/Group Accounts,AC-02.09.01.01,The organization defines conditions for establishing shared/group accounts.,#N/A
64,AC,Restrictions on Use of Shared/Group Accounts,AC-02.09.02.01,The organization only permits the use of shared/group authenticators when there is an overriding operational necessity documented in an approved IT system security plan.,#N/A
65,AC,Shared/Group Account Credential Termination,AC-02.10.01.01,The information system terminates shared/group account credentials when members leave the group.,#N/A
66,AC,Usage Conditions,AC-02.11.01.01,The organization defines circumstances and/or usage conditions to be enforced for information system accounts.,#N/A
67,AC,Usage Conditions,AC-02.11.02.01,The organization defines information system accounts for which organization defined circumstances and/or usage conditions are to be enforced.,#N/A
68,AC,Usage Conditions,AC-02.11.03.01,The information system enforces organization-defined circumstances and/or usage conditions for organization-defined information system accounts.,#N/A
69,AC,Account Monitoring/Atypical Usage,AC-02.12.01.01,"The organization defines atypical usage to be monitored for information system accounts as use outside of normal business hours, etc.","Policy and procedures showing atypical usage to be monitored for information system accounts as use outside of normal business hours, etc."
70,AC,Account Monitoring/Atypical Usage,AC-02.12.01.02,"The organization monitors information system accounts for organization defined atypical usage, such as use outside of normal business hours, etc.",#N/A
71,AC,Account Monitoring/Atypical Usage,AC-02.12.02.01,The organization defines personnel or roles to whom atypical usage of information system accounts are to be reported as System Administrators.,Account management policy and procedure defining personnel or roles to whom atypical usage of information system accounts are to be reported as System Administrators.
72,AC,Account Monitoring/Atypical Usage,AC-02.12.02.02,The organization reports atypical usage of information system accounts to System Administrators.,#N/A
73,AC,Disable Accounts for High-Risk Individuals,AC-02.13.01.01,The organization defines the time period within which accounts are disabled upon discovery of a significant risk posed by users of such accounts as immediately.,"Provide access control procedures addressing the time period within which accounts are disabled upon discovery of a significant risk posed by users of such accounts as immediately.

Access Control SOP, Account Management (section) that defines that accounts are to be disabled immediately upon discovery of a significant risk posed by users of such accounts.

The organization defines the time period within which accounts are disabled upon discovery of a significant risk posed by users of such accounts as immediately."
74,AC,Disable Accounts for High-Risk Individuals,AC-02.13.02.01,The organization disables accounts of users posing a significant risk immediately upon identification/notification of the user who poses a significant risk.,"Remedy Ticket that shows request and approval of account deactivation upon discovery of a significant risk posed by users of such accounts as immediately; Screenshot of configuration settings, AD settings that shows disabled accounts; List of disabled accounts with description of activities posing significant risk; List of users and activities posing significant risk; system’s audit records. 

Access Control SOP, Account Management (section) that defines that accounts are to be disabled immediately upon discovery of a significant risk posed by users of such accounts.

NOTE: If provided by an enterprise shared service, SSP implementation descriptions must explicitly state which system(s) are responsible for this function, and the control must be tested prior to acceptance for passing on subordinate / reliant systems.

2. The organization disables accounts of users posing a significant risk immediately upon identification/notification of the user who poses a significant risk."
75,AC,"Account Deactivation
Criteria",AC-02.14.01.01,The servicing Human Resources Office or servicing Contracting Officer Representative (COTR) must inform the servicing IT support office of an employee or contractor's departure within five business days of their departure and requires the servicing IT support office to ensure the deactivation of the departing employee or contractor's account(s) within five business days of being notified.,#N/A
76,AC,Access Enforcement ,AC-03.00.01.01,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,#N/A
77,AC,Dual Authorization,AC-03.02.01.01,The organization defines privileged commands and/or other actions for which dual authorization is to be enforced,#N/A
78,AC,Dual Authorization,AC-03.02.02.01,The information system enforces dual authorization for organization-defined privileged commands and/or other organization-defined actions.,#N/A
79,AC,Mandatory Access Control ,AC-03.03.01.01,The organization defines mandatory access control policies to be enforced over all subjects and objects.,#N/A
80,AC,Mandatory Access Control ,AC-03.03.02.01,The organization defines subjects over which organization-defined mandatory access control policies are to be enforced.,#N/A
81,AC,Mandatory Access Control ,AC-03.03.03.01,The organization defines objects over which organization-defined mandatory access control policies are to be enforced.,#N/A
82,AC,Mandatory Access Control ,AC-03.03.04.01,The organization defines subjects that may explicitly be granted privileges such that they are not limited by the constraints specified elsewhere within this control.,#N/A
83,AC,Mandatory Access Control ,AC-03.03.05.01,The organization defines privileges that may be granted to organization-defined subjects.,#N/A
84,AC,Mandatory Access Control ,AC-03.03.06.01,The information system enforces organization-defined mandatory access control policies over all subjects and objects where the policy specifies that the policy is uniformly enforced across all subjects and objects within the boundary of the information system.,#N/A
85,AC,Mandatory Access Control ,AC-03.03.06.02,"The information system enforces organization-defined mandatory access control policies over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from doing any of the following:
1) passing the information to unauthorized subjects or objects
2) granting its privileges to other subjects
3) changing one or more security attributes on:
 - subjects
 - objects
 - the information system
 - system components
4) choosing the security attributes and attribute values to be associated with newly created or modified objects
5) changing the rules governing access control",#N/A
86,AC,Mandatory Access Control ,AC-03.03.06.03,The information system enforces organization-defined mandatory access control policies over all subjects and objects where the policy specifies that organization-defined subjects may explicitly be granted organization-defined privileges such that they are not limited by some or all of the above constraints.,#N/A
87,AC,Discretionary Access Control,AC-03.04.01.01,The organization defines discretionary access control policies to be enforced over defined subjects and objects.,#N/A
88,AC,Discretionary Access Control,AC-03.04.02.01,The information system enforces organization-defined discretionary access control policies over defined subjects and objects where the policy specifies that a subject has been granted access to information and can pass the information to any other subjects or objects.,#N/A
89,AC,Discretionary Access Control,AC-03.04.02.02,The information system enforces organization-defined discretionary access control policies over defined subjects and objects where the policy specifies that a subject has been granted access to information and can grant its privileges to other subjects.,#N/A
90,AC,Discretionary Access Control,AC-03.04.02.03,"The information system enforces organization-defined discretionary access control policies over defined subjects and objects where the policy specifies that a subject has been granted access to information and can change security attributes on:
1) subjects
2) objects
3) the information system
4) the information system’s components",#N/A
91,AC,Discretionary Access Control,AC-03.04.02.04,The information system enforces organization-defined discretionary access control policies over defined subjects and objects where the policy specifies that a subject has been granted access to information and can choose the security attributes to be associated with newly created or revised objects.,#N/A
92,AC,Discretionary Access Control,AC-03.04.02.05,The information system enforces organization-defined discretionary access control policies over defined subjects and objects where the policy specifies that a subject has been granted access to information and can change the rules governing access control.,#N/A
93,AC,Security-Relevant Information,AC-03.05.01.01,"The organization defines security-relevant information to which the information system prevents access except during secure, non-operable system states.",#N/A
94,AC,Security-Relevant Information,AC-03.05.02.01,"The information system prevents access to organization-defined security-relevant information except during secure, non-operable system states.",#N/A
95,AC,Role-Based Access Control,AC-03.07.01.01,The organization defines roles to control information system access.,#N/A
96,AC,Role-Based Access Control,AC-03.07.02.01,The organization defines users authorized to assume the organization-defined roles.,#N/A
97,AC,Role-Based Access Control,AC-03.07.03.01,The information system controls access based on organization-defined roles and users authorized to assume such roles.,#N/A
98,AC,Role-Based Access Control,AC-03.07.04.01,The information system enforces a role-based access control policy over defined subjects.,#N/A
99,AC,Role-Based Access Control,AC-03.07.04.02,The information system enforces a role-based access control policy over defined objects.,#N/A
100,AC,Revocation of Access Authorizations,AC-03.08.01.01,The organization defines rules governing the timing of revocations of access authorizations.,#N/A
101,AC,Revocation of Access Authorizations,AC-03.08.02.01,The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on organization-defined rules governing the timing of revocations of access authorizations.,#N/A
102,AC,Controlled Release,AC-03.09.01.01,The organization defines the information system or system component authorized to receive information released outside of the established system boundary of the information system releasing such information.,#N/A
103,AC,Controlled Release,AC-03.09.02.01,The organization defines security safeguards to be provided by organization-defined information system or system component receiving information released from an information system outside of the established system boundary.,#N/A
104,AC,Controlled Release,AC-03.09.03.01,The organization defines security safeguards to be used to validate the appropriateness of the information designated for release.,#N/A
105,AC,Controlled Release,AC-03.09.04.01,The information system does not release information outside of the established system boundary unless the receiving organization-defined information system or system component provides organization-defined security safeguards.,#N/A
106,AC,Controlled Release,AC-03.09.04.02,The information system does not release information outside of the established system boundary unless the organization-defined security safeguards are used to validate the appropriateness of the information designated for release.,#N/A
107,AC,Audited Override of Access Control Mechanisms,AC-03.10.01.01,The organization defines conditions under which to employ an audited override of automated access control mechanisms.,#N/A
108,AC,Audited Override of Access Control Mechanisms,AC-03.10.02.01,The organization employs an audited override of automated access control mechanisms under organization-defined conditions.,#N/A
109,AC,Information Flow Enforcement,AC-04.00.01.01,"The organization defines applicable policy for controlling the flow of information within the system and between interconnected systems based on existing Interconnection Security Agreements (ISAs), Memoranda of Understanding (MOUs) or interface specification documents.",#N/A
110,AC,Information Flow Enforcement,AC-04.00.02.01,"The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with existing Interconnection Security Agreements (ISAs), Memoranda of Understanding (MOUs) or interface specification documents.",#N/A
111,AC,Object Security Attributes,AC-04.01.01.01,The organization defines information flow control policies as a basis for flow control decisions.,#N/A
112,AC,Object Security Attributes,AC-04.01.02.01,"The organization defines security attributes to be associated with information, source, and destination objects.",#N/A
113,AC,Object Security Attributes,AC-04.01.03.01,The organization defines the following objects to be associated with organization-defined security attributes information.,#N/A
114,AC,Object Security Attributes,AC-04.01.03.02,The organization defines the following objects to be associated with organization-defined security attributes source.,#N/A
115,AC,Object Security Attributes,AC-04.01.03.03,The organization defines the following objects to be associated with organization-defined security attributes destination.,#N/A
116,AC,Object Security Attributes,AC-04.01.04.01,"The information system uses organization-defined security attributes associated with organization-defined information, source, and destination objects to enforce organization-defined information flow control policies as a basis for flow control decisions.",#N/A
117,AC,Processing Domains ,AC-04.02.01.01,The organization defines information flow control policies as a basis for flow control decisions.,#N/A
118,AC,Processing Domains ,AC-04.02.01.02,The information system uses protected processing domains to enforce organization-defined information flow control policies as a basis for flow control decisions.,#N/A
119,AC,Dynamic Information Flow Control,AC-04.03.01.01,The organization defines policies to enforce dynamic information flow control.,#N/A
120,AC,Dynamic Information Flow Control,AC-04.03.01.02,The information system enforces dynamic information flow control based on organization-defined policies.,#N/A
121,AC,Content Check Encrypted Information,AC-04.04.01.01,The organization defines a procedure or method to be employed to prevent encrypted information from bypassing content-checking mechanisms.,#N/A
122,AC,Content Check Encrypted Information,AC-04.04.02.01,The information system prevents encrypted information from bypassing content-checking mechanisms by doing one or more of the following decrypting the information.,#N/A
123,AC,Content Check Encrypted Information,AC-04.04.02.02,The information system prevents encrypted information from bypassing content-checking mechanisms by doing one or more of the following blocking the flow of the encrypted information.,#N/A
124,AC,Content Check Encrypted Information,AC-04.04.02.03,The information system prevents encrypted information from bypassing content-checking mechanisms by doing one or more of the following terminating communications sessions attempting to pass encrypted information.,#N/A
125,AC,Content Check Encrypted Information,AC-04.04.02.04,The information system prevents encrypted information from bypassing content-checking mechanisms by doing one or more of the following employing the organization-defined procedure or method.,#N/A
126,AC,Embedded Data Types,AC-04.05.01.01,The organization defines limitations to be enforced on embedding data types within other data types.,#N/A
127,AC,Embedded Data Types,AC-04.05.02.01,The information system enforces organization-defined limitations on embedding data types within other data types.,#N/A
128,AC,Metadata,AC-04.06.01.01,The organization defines metadata to be used as a means of enforcing information flow control.,#N/A
129,AC,Metadata,AC-04.06.02.01,The information system enforces information flow control based on organization-defined metadata.,#N/A
130,AC,One-Way Flow Mechanisms,AC-04.07.01.01,The organization defines one-way information flows to be enforced by the information system.,#N/A
131,AC,One-Way Flow Mechanisms,AC-04.07.02.01,The information system enforces organization-defined one-way information flows using hardware mechanisms.,#N/A
132,AC,Security Policy Filters,AC-04.08.01.01,The organization defines security policy filters to be used as a basis for enforcing flow control decisions.,#N/A
133,AC,Security Policy Filters,AC-04.08.02.01,The organization defines information flows for which flow control decisions are to be applied and enforced.,#N/A
134,AC,Security Policy Filters,AC-04.08.03.01,The information system enforces information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.,#N/A
135,AC,Human Reviews,AC-04.09.01.01,The organization defines information flows requiring the use of human reviews.,#N/A
