ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
59,AC,Separation of Duties,AC-05.00.03.01,The information system defines access authorizations to support separation of duties.
60,AC,"Separation of Duties, DOC Criteria",AC-05.01.01.01,"The following three (3) categories of “duty” must be kept separate or compensating controls in place to monitor activity closely:
1) IT Administration or operation (assuring systems function, to serve the system users).
2) IT Security (assuring adequacy of system controls for availability, integrity, and confidentiality).
3) IT Management (allocating adequate resources for implementation of effective IT Security Programs and system controls)."
61,AC,"Separation of Duties, DOC Criteria",AC-05.02.01.01,"Due to staffing constraints, OUs may authorize the use of dual roles (e.g., a System Administrator may serve as a back-up for an ISSO who is on leave). However, while serving in a dual role, compensating management controls must be implemented to ensure changes to the security posture are properly authorized."
62,AC,Least Privilege,AC-06.00.01.01,"The organization employs the principle of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions."
63,AC,Authorize Access to Security Functions,AC-06.01.01.01,"The organization defines security-relevant information for which access must be explicitly authorized as
1) Establish system accounts, 
2) Configure access authorizations (i.e. permissions, privileges), and 
3) Set events to be audited
4) Set intrusion detection parameters"
64,AC,Authorize Access to Security Functions,AC-06.01.02.01,The organization defines security functions deployed in: Hardware.
65,AC,Authorize Access to Security Functions,AC-06.01.02.02,The organization defines security functions deployed in: Software.
66,AC,Authorize Access to Security Functions,AC-06.01.02.03,The organization defines security functions deployed in: Firmware.
67,AC,Authorize Access to Security Functions,AC-06.01.03.01,The organization explicitly authorizes access to organization-defined security functions.
68,AC,Authorize Access to Security Functions,AC-06.01.03.02,The organization explicitly authorizes access to security relevant information.
69,AC,Non-Privileged Access for Nonsecurity Functions,AC-06.02.01.01,"The organization defines the security functions or security-relevant information to which users of information system accounts, or roles, have access as those needed to establish system accounts, configure access authorizations (i.e. permissions, privileges), or set events to be audited."
70,AC,Non-Privileged Access for Nonsecurity Functions,AC-06.02.02.01,"The organization requires that users of information system accounts, or roles, with access to establish system accounts, configure access authorizations (i.e. permissions, privileges), or set events to be audited, to use non-privileged accounts, or roles, when accessing nonsecurity functions."
71,AC,Privileged Accounts,AC-06.05.01.01,The organization defines personnel or roles for which privileged accounts on the information system are to be restricted as designated Census Bureau personnel.
72,AC,Privileged Accounts,AC-06.05.02.01,The organization restricts privileged accounts on the information system to designated Census Bureau personnel.
73,AC,Auditing Use of Privileged Functions,AC-06.09.01.01,The information system audits the execution of privileged functions in accordance with contents requirements in AU-03.
74,AC,Prohibit Non-Privileged Users from Executing Privileged Functions,AC-06.10.01.01,The information system prevents non-privileged users from executing privileged functions to include: Disabling implemented security safeguards/countermeasures.
75,AC,Prohibit Non-Privileged Users from Executing Privileged Functions,AC-06.10.02.01,The information system prevents non-privileged users from executing privileged functions to include: Circumventing security safeguards/countermeasures.
76,AC,Prohibit Non-Privileged Users from Executing Privileged Functions,AC-06.10.03.01,The information system prevents non-privileged users from executing privileged functions to include: Altering implemented security safeguards/countermeasures.
77,AC,Unsuccessful Login Attempts,AC-07.00.01.01,The organization defines the number of consecutive invalid logon attempts allowed to the information system by a user during an organization-defined time period as five (5).
78,AC,Unsuccessful Login Attempts,AC-07.00.01.02,The organization defines the time period allowed by a user of the information system for an organization-defined number of consecutive invalid logon attempts as fifteen (15) minutes.
79,AC,Unsuccessful Login Attempts,AC-07.00.01.03,The information system enforces the five (5) consecutive invalid login attempts by a user during the 15 minute time period.
80,AC,Unsuccessful Login Attempts,AC-07.00.02.01,The organization defines account/node lockout time period or logon delay algorithm to be automatically enforced by the information system when the maximum number of unsuccessful logon attempts is exceeded as a minimum of 15 minutes.
81,AC,Unsuccessful Login Attempts,AC-07.00.02.02,"The information system, when the maximum number of unsuccessful logon attempts is exceeded, automatically locks the account/node for a minimum of 15 minutes."
82,AC,"Unsuccessful Login Attempts, DOC Criteria",AC-07.03.01.01,"Determine if locked accounts with privileged access (i.e., root or administrator access) remain locked until unlocked by the respective Help Desk, Security Administrator, or other authorized account management personnel whereby reasonable and verifiable identification is employed."
83,AC,System Use Notification,AC-08.00.01.01,"The organization defines a system use notification message or banner to be displayed by the information system to users before granting access to the system as the following information:
1. Users are accessing a U.S. government information system. 
2. Information system usage may be monitored, recorded, and subject to audit.
3. Unauthorized use of the information system is prohibited and subject to criminal and civil penalties. and
4. Use of the information system indicates consent to monitoring and recording. 
5. Contains the following legal title: US Census Bureau Notice and Consent Warning
"
84,AC,System Use Notification,AC-08.00.01.02,"The information system displays to users the following system use notification message before granting access to the information system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance, and states that users are accessing a U.S. Government information system:
1. Users are accessing a U.S. government information system. 
2. Information system usage may be monitored, recorded, and subject to audit.
3. Unauthorized use of the information system is prohibited and subject to criminal and civil penalties. and
4. Use of the information system indicates consent to monitoring and recording. 
5. Contains the following legal title: US Census Bureau Notice and Consent Warning"
85,AC,System Use Notification,AC-08.00.02.01,The information system retains the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system.
86,AC,System Use Notification,AC-08.00.03.01,"For publicly accessible systems:
1) The organization defines conditions for system use to be displayed by the information system before granting further access as when appropriate.
2) The information system displays system use information when appropriate before granting further access"
87,AC,System Use Notification,AC-08.00.03.02,"For publicly accessible systems, the information system displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities."
88,AC,System Use Notification,AC-08.00.03.03,For publicly accessible systems the information system includes a description of the authorized uses of the system.
89,AC,System Use Notification,AC-08.00.03.04,For publicly accessible systems the information system contains the following legal title: US Census Bureau Notice and Consent Warning.
90,AC,Session Lock ,AC-11.00.01.01,"The organization defines the time period of user inactivity after which the information system initiates a session lock as thirty (30) minutes of inactivity for web applications, remote access, and portable devices, and fifteen (15) minutes of inactivity for desktop systems."
91,AC,Session Lock ,AC-11.00.01.02,"The information system prevents further access to the system by initiating a session lock after thirty (30) minutes of inactivity for web applications, remote access, and portable devices, and fifteen (15) minutes of inactivity for desktop systems of user inactivity or upon receiving a request from a user."
92,AC,Session Lock ,AC-11.00.01.03,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.
93,AC,Pattern-Hiding Displays,AC-11.01.01.01,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image."
94,AC,Session Termination,AC-12.00.01.01,The organization defines conditions or trigger events requiring session disconnect as after 8 hours of inactivity for internal systems and 30 minutes of inactivity for externally-accessible systems.
95,AC,Session Termination,AC-12.00.02.01,The information system automatically terminates a user session after 8 hours of inactivity for internal systems and 30 minutes of inactivity for externally-accessible systems.
96,AC,Permitted Actions Without Identification or Authentication,AC-14.00.01.01,The organization defines user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions. 
97,AC,Permitted Actions Without Identification or Authentication,AC-14.00.01.02,The organization identifies organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.
98,AC,Permitted Actions Without Identification or Authentication,AC-14.00.02.01,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification or authentication."
99,AC,Remote Access ,AC-17.00.01.01,The organization identifies the types of remote access allowed to the information system.
100,AC,Remote Access ,AC-17.00.01.02,"The organization establishes for each type of remote access allowed:
1) usage restrictions
2) configuration/connection requirements
3) implementation guidance"
101,AC,Remote Access ,AC-17.00.01.03,"The organization documents for each type of remote access allowed:
1) usage restrictions
2) configuration/connection requirements
3) implementation guidance"
102,AC,Remote Access ,AC-17.00.02.01,The organization authorizes remote access to the information system prior to allowing such connections.
103,AC,Automated Monitoring/Control,AC-17.01.01.01,The information system monitors and controls remote access methods.
104,AC,Protection of Confidentiality/Integrity Using Encryption,AC-17.02.01.01,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions
105,AC,Managed Access Control Points,AC-17.03.01.01,The organization defines the number of managed network access control points through which all remote accesses are to be routed as no more than 9.
106,AC,Managed Access Control Points,AC-17.03.02.01,The information system routes all remote accesses through the no more than 9 managed network access control points.
107,AC,Privileged Commands/Access,AC-17.04.01.01,The organization defines needs to authorize the execution of privileged commands and access to security-relevant information via remote access as compelling operational need.
108,AC,Privileged Commands/Access,AC-17.04.01.02,The organization authorizes the execution of privileged commands and access to security-relevant information via remote access only for compelling operational need.
109,AC,Privileged Commands/Access,AC-17.04.02.01,The organization documents the rationale for such access in the information system security plan.
110,AC,Wireless Access Restrictions,AC-18.00.01.01,The organization establishes restrictions for wireless access usage.
111,AC,Wireless Access Restrictions,AC-18.00.01.02,The organization establishes requirement for wireless access configuration/connection.
112,AC,Wireless Access Restrictions,AC-18.00.01.03,The organization establishes guidance for wireless access implementation.
113,AC,Wireless Access Restrictions,AC-18.00.02.01,The organization authorizes wireless access to the information system prior to allowing such connections.
114,AC,Authentication and Encryption,AC-18.01.01.01,The information system protects wireless access to the system using encryption and one or more of the following: authentication of users.
115,AC,Authentication and Encryption,AC-18.01.02.01,The information system protects wireless access to the system using encryption and one or more of the following: authentication of devices.
116,AC,Access Control for Portable and Mobile Systems,AC-19.00.01.01,The organization establishes restrictions for organization-controlled mobile devices usage.
117,AC,Access Control for Portable and Mobile Systems,AC-19.00.01.02,The organization establishes requirement for organization-controlled mobile devices configuration/connection.
118,AC,Access Control for Portable and Mobile Systems,AC-19.00.01.03,The organization establishes guidance for organization-controlled mobile devices implementation. 
119,AC,Access Control for Portable and Mobile Systems,AC-19.00.02.01,The organization authorizes the connection of mobile devices to organizational information systems.
120,AC,Full Device / Container-Based Encryption,AC-19.05.01.01,"The organization defines mobile devices for which full-device encryption is required to protect the confidentiality and integrity of information on such devices as government-furnished mobile devices, including laptops, Blackberry, Android, and iOS devices."
121,AC,Full Device / Container-Based Encryption,AC-19.05.02.01,"The organization employs full-device encryption to protect the confidentiality and integrity of information on government-furnished mobile devices, including laptops, Blackberry, Android, and iOS devices."
122,AC,"Access Control for Portable and Mobile Systems, DOC Criteria",AC-19.06.01.01,"The DOC requires the OUs to protect portable and mobile devices as recommended by the DOC CITR-020, Safeguarding Information While on Foreign Travel."
123,AC,"Access Control for Portable and Mobile Systems, DOC Criteria",AC-19.07.01.01,The DOC requires the OUs to scan and review mobile devices before granting authorization to connect to DOC resources.
124,AC,Use of External Information Systems,AC-20.00.01.01,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to access the information system from the external information systems."
125,AC,Use of External Information Systems,AC-20.00.02.01,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process, store, or transmit organization-controlled information using external information systems."
126,AC,Limits on Authorized Use,AC-20.01.01.01,"The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization verifies the implementation of required security controls on the external system as specified in the organization’s information security policy and security plan."
127,AC,Limits on Authorized Use,AC-20.01.02.01,"The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization retains approved information system connection or processing agreements with the organizational entity hosting the external information system."
128,AC,Portable Storage Devices,AC-20.02.01.01,The organization restricts the use of organization-controlled portable storage devices by authorized individuals on external information systems.
129,AC,"Use of External Information Systems, DOC Criteria",AC-20.05.01.01,"The DOC requires the OUs to restrict the use of personally owned information systems as recommended by the DOC CITR-020, Safeguarding Information While on Foreign Travel."
130,AC,"Use of External Information Systems, DOC Criteria",AC-20.06.01.01,"The DOC requires the OUs to verify and document requirements in an Interconnection Security Agreement (ISA), Memorandum of Agreement (MOA), Memorandum of Understanding (MOU) and/or contract."
131,AC,Information Sharing,AC-21.00.01.01,"The organization defines information sharing circumstances where user discretion is required as Title 13 data, Title 26 data, Personally Identifiable Information (PII), and controlled unclassified information (e.g. financial information, payroll)."
132,AC,Information Sharing,AC-21.00.01.02,"The organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for Title 13 data, Title 26 data, Personally Identifiable Information (PII), and controlled unclassified information (e.g. financial information, payroll) sharing circumstances."
133,AC,Information Sharing,AC-21.00.02.01,The organization defines automated mechanisms or manual processes to be employed to assist users in making information sharing/collaboration decisions.
134,AC,Information Sharing,AC-21.00.02.02,The organization employs organization-defined automated mechanisms or manual processes to assist users in making information sharing/collaboration decisions.
135,AC,Publicly Accessible Content,AC-22.00.01.01,The organization designates individuals authorized to post information onto a publicly accessible information system.
136,AC,Publicly Accessible Content,AC-22.00.02.01,The organization trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information.
137,AC,Publicly Accessible Content,AC-22.00.03.01,The organization reviews the proposed content of information prior to posting onto the publicly accessible information system to ensure that nonpublic information is not included.
138,AC,Publicly Accessible Content,AC-22.00.04.01,The organization defines the frequency to review the content on the publicly accessible information system for nonpublic information as annually.
139,AC,Publicly Accessible Content,AC-22.00.04.02,The organization reviews the content on the publicly accessible information system for nonpublic information annually.
140,AC,Publicly Accessible Content,AC-22.00.04.03,"The organization removes nonpublic information from the publicly accessible information system, if discovered."
141,AR,Privacy Impact and Risk Assessment,AR-02.00.02.01,"Conducts Privacy Impact Assessments (PIAs) for information systems, programs, or other activities that pose a privacy risk in accordance with applicable law, OMB policy, or any existing organizational policies and procedures."
142,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.01.01,"The organization develops and documents a security awareness and training policy that addresses: 
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities, 
7) compliance
"
143,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.01.02,The organization defines personnel or roles to whom the security awareness and training policy are to be disseminated as individuals with access to internal Census Bureau information systems.
144,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.01.03,The organization disseminates formal documented security awareness and training policy to individuals with access to internal Census Bureau information systems.
145,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the security awareness and training policy and associated awareness and training controls.
146,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as individuals with access to internal Census Bureau information systems.
147,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.02.03,The organization disseminates the procedures to individuals with access to internal Census Bureau information systems.
148,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.03.01,"The organization defines the frequency to review and update the current security awareness and training policy as at least annually and as needed, respectively."
149,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.03.02,"The organization reviews/updates security awareness and training policy at least annually and as needed, respectively."
150,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.04.01,"The organization defines the frequency to review and update the current security awareness and training procedures as at least annually and as needed, respectively."
151,AT,Security Awareness and Training Policy and Procedures ,AT-01.00.04.02,"The organization reviews/updates security awareness and training procedures at least annually and as needed, respectively."
152,AT,Security Awareness ,AT-02.00.01.01,"The organization provides basic security awareness training to all information system users (including managers, senior executives, and contractors) as part of initial training for new users prior to access to internal Census Bureau information systems."
153,AT,Security Awareness ,AT-02.00.02.01,"The organization provides basic security awareness training to information system users (including managers, senior executives, and contractors) when required by information system changes."
154,AT,Security Awareness ,AT-02.00.03.01,"The organization defines the frequency to provide refresher security awareness training thereafter to information system users (including managers, senior executives, and contractors) as annually, but no later than June 30th."
155,AT,Security Awareness ,AT-02.00.03.04,"The organization provides refresher security awareness training to information users (including managers, senior executives, and contractors) annually, but no later than June 30th."
156,AT,Insider Threat,AT-02.02.01.01,The organization includes security awareness training on recognizing and reporting potential indicators of insider threat.
157,AT,"Security Awareness, DOC Criteria",AT-02.03.01.01,"The DOC ISSLOB selected content shall be used as the basic awareness training. A user may be granted temporary access where an information system security orientation is provided with granted access, until the training requirement can be met. In the meantime, training shall be met within thirty (30) calendar days."
158,AT,"Security Awareness, DOC Criteria",AT-02.04.01.01,"If a user refuses to engage in or cannot meet the training requirement due to extenuating circumstances, access to information and resources must be suspended, and a risk-based decision made by the OU AO"
159,AT,Role-Based Security Training,AT-03.00.01.01,The organization provides role-based security-related training before authorizing access to the system or performing assigned duties.
160,AT,Role-Based Security Training,AT-03.00.02.01,The organization provides role-based security training to personnel with assigned security roles and responsibilities when required by information system changes.
161,AT,Role-Based Security Training,AT-03.00.03.01,The organization defines the frequency to provide refresher role-based security training thereafter to personnel with assigned security roles and responsibilities as at least annually.
162,AT,Role-Based Security Training,AT-03.00.03.02,The organization provides refresher role-based security training to personnel with assigned security roles and responsibilities at least annually.
163,AT,"Security Training, DOC Criteria",AT-03.05.01.01,"The DOC ITSPP (Section 3.0) defines significant information security roles, such as DOC and OU CIOs. DOC Privacy Officers and OU Privacy Act Officers. AOs. SOs. IOs. DOC and OU CISOs/SAISOs. CAs. ITSOs/SAISOs, ISSOs. Contingency Plan Personnel. and IT Security Incident Response Personnel. The OUs must ensure that these roles are provided specialized training within the first sixty (60) business days from role appointment notification."
164,AT,"Security Training, DOC Criteria",AT-03.05.02.01,"The DOC ITSPP (Section 3.0) defines significant information security roles, such as DOC and OU CIOs. DOC Privacy Officers and OU Privacy Act Officers. AOs. SOs. IOs. DOC and OU CISOs/SAISOs. CAs. ITSOs/SAISOs, ISSOs. Contingency Plan Personnel. and IT Security Incident Response Personnel. The OUs must ensure that, according to role appointment, notification must be made within the first thirty (30) business days of appointment."
165,AT,"Security Training, DOC Criteria",AT-03.05.03.01,"The DOC ITSPP (Section 3.0) defines significant information security roles, such as DOC and OU CIOs. DOC Privacy Officers and OU Privacy Act Officers. AOs. SOs. IOs. DOC and OU CISOs/SAISOs. CAs. ITSOs/SAISOs, ISSOs. Contingency Plan Personnel. and IT Security Incident Response Personnel. The OUs must ensure that thereafter, refresher training for each role must be accomplished annually based on fiscal year."
166,AT,"Security Training, DOC Criteria",AT-03.06.01.01,"Since there are numerous management, technical, and operational roles that include elements of information security, each OU is encouraged to define such roles based on need and/or specific areas that require skill enhancement."
167,AT,"Security Training, DOC Criteria",AT-03.07.01.01,"If a user refuses to engage in or cannot meet the training requirements due to extenuating circumstances: 
1) Access to information and resources must be suspended or terminated
2) Performance in an IT security role re-evaluated
3) A risk-based decision is made by the OU AO. 

This may result in personnel action if access is required for fulfillment of position responsibilities."
168,AT,"Security Training, DOC Criteria",AT-03.08.01.01,Use of professional certification is at the discretion of each OU. 
169,AT,"Security Training, DOC Criteria",AT-03.08.02.01,Initial training is required with or without a professional certification. 
170,AT,"Security Training, DOC Criteria",AT-03.08.03.01,"A current role-related technology or product professional certification, which includes a security component, may be used in lieu of refresher training as long as the professional certification has maintenance requirements."
171,AT,"Security Training, DOC Criteria",AT-03.09.01.01,"The DOC OSY prescribes the requirements for training regarding the handling of national security information, electronic or hard copy. This training supplements the training set forth in the DOC ITSPP."
172,AT,Security Training Records,AT-04.00.01.01,"The organization documents individual information system security training activities including:
1) Basic security awareness training
2) Specific role-based information system security training"
173,AT,Security Training Records,AT-04.00.01.02,"The organization monitors individual information system security training activities including:
1) Basic security awareness training
2) Specific role-based information system security training"
174,AT,Security Training Records,AT-04.00.02.01,The organization defines the time period for retaining individual training records as two years (current year and past year).
175,AT,Security Training Records,AT-04.00.02.02,The organization retains individual training records for two years (current year and past year).
176,AT,"Security Training Records, DOC Criteria",AT-04.01.01.01,"The Commerce Learning Center records documentation shall include:
1) Incumbent’s name
2) Role
3) Type of training received
4) When training was accomplished or date professional certification was verified."
177,AU,Audit and Accountability Policy and Procedures,AU-01.00.01.01,"The organization develops and documents an audit and accountability policy that addresses:
1) Purpose
2) Scope
3) Roles
4) Responsibilities
5) Management Commitment 
6) Coordination Among Organizational Entities
7) Compliance"
178,AU,Audit and Accountability Policy and Procedures,AU-01.00.01.02,The organization defines personnel or roles to whom the audit and accountability policy are to be disseminated as Program Offices/System Owners.
179,AU,Audit and Accountability Policy and Procedures,AU-01.00.01.03,The organization disseminates the audit and accountability policy to Program Offices/System Owners.
180,AU,Audit and Accountability Policy and Procedures,AU-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls.
181,AU,Audit and Accountability Policy and Procedures,AU-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
182,AU,Audit and Accountability Policy and Procedures,AU-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners.
183,AU,Audit and Accountability Policy and Procedures,AU-01.00.03.01,"The organization defines the frequency to review and update the current audit and accountability policy as at least annually and as needed, respectively."
184,AU,Audit and Accountability Policy and Procedures,AU-01.00.03.02,"The organization reviews and updates the current audit and accountability policy at least annually and as needed, respectively."
185,AU,Audit and Accountability Policy and Procedures,AU-01.00.04.01,"The organization defines the frequency to review and update the current audit and accountability procedures as at least annually and as needed, respectively."
186,AU,Audit and Accountability Policy and Procedures,AU-01.00.04.02,"The organization reviews and updates the current audit and accountability procedures at least annually and as needed, respectively. "
